Code,Date,Open,High,Low,Close,Volume
AAPL:US,09/09/2021,155.490,156.110,153.950,154.070,57305730
AAPL:US,10/09/2021,155.000,155.480,148.700,148.970,140893235
AAPL:US,13/09/2021,150.630,151.420,148.750,149.550,102404329
AAPL:US,14/09/2021,150.350,151.070,146.910,148.120,109296295
AAPL:US,15/09/2021,148.560,149.440,146.370,149.030,83281315
AAPL:US,16/09/2021,148.440,148.970,147.221,148.790,68034149
AAPL:US,17/09/2021,148.820,148.820,145.760,146.060,129868824
AAPL:US,20/09/2021,143.800,144.840,141.270,142.940,123478863
AAPL:US,21/09/2021,143.930,144.600,142.780,143.430,75833962
AAPL:US,22/09/2021,144.450,146.430,143.700,145.850,76404341
AAPL:US,23/09/2021,146.650,147.080,145.640,146.830,64838170
AAPL:US,24/09/2021,145.660,147.470,145.560,146.920,53477869
AAPL:US,27/09/2021,145.470,145.960,143.820,145.370,74150729
AAPL:US,28/09/2021,143.250,144.750,141.690,141.910,108972340
AAPL:US,29/09/2021,142.470,144.450,142.030,142.830,74602044
AAPL:US,30/09/2021,143.660,144.378,141.280,141.500,89056664
AAPL:US,01/10/2021,141.900,142.920,139.110,142.650,94639581
AAPL:US,04/10/2021,141.760,142.210,138.270,139.140,98322008
AAPL:US,05/10/2021,139.490,142.240,139.360,141.110,80861062
AAPL:US,06/10/2021,139.470,142.150,138.370,142.000,83221119
AAPL:US,07/10/2021,143.060,144.215,142.720,143.290,61732656
AAPL:US,08/10/2021,144.030,144.178,142.560,142.900,58773155
AAPL:US,11/10/2021,142.270,144.810,141.810,142.810,64452219
AAPL:US,12/10/2021,143.230,143.250,141.040,141.510,73035859
AAPL:US,13/10/2021,141.235,141.400,139.200,140.910,78762721
AAPL:US,14/10/2021,142.110,143.880,141.510,143.760,69907100
AAPL:US,15/10/2021,143.770,144.895,143.510,144.840,67940334
AAPL:US,18/10/2021,143.445,146.840,143.160,146.550,85589175
AAPL:US,19/10/2021,147.010,149.170,146.550,148.760,76378894
AAPL:US,20/10/2021,148.700,149.754,148.120,149.260,58418788
AAPL:US,21/10/2021,148.810,149.640,147.870,149.480,61420990
AAPL:US,22/10/2021,149.690,150.180,148.640,148.690,58883443
AAPL:US,25/10/2021,148.680,149.370,147.621,148.640,50720556
AAPL:US,26/10/2021,149.330,150.840,149.010,149.320,60893395
AAPL:US,27/10/2021,149.360,149.730,148.490,148.850,56094929
AAPL:US,28/10/2021,149.820,153.165,149.720,152.570,100077888
AAPL:US,29/10/2021,147.215,149.940,146.413,149.800,124953168
AAPL:US,01/11/2021,148.985,149.700,147.800,148.960,74588258
AAPL:US,02/11/2021,148.660,151.570,148.650,150.020,69121987
AAPL:US,03/11/2021,150.390,151.970,149.820,151.490,54511534
AAPL:US,04/11/2021,151.580,152.430,150.640,150.960,60394616
