Code,Date,Open,High,Low,Close,Volume,Value,Trades
CXO,2021/09/08,0.37,0.375,0.345,0.345,12614632,4517356.83,713
CXO,2021/09/09,0.34,0.347,0.33,0.33,13402094,4535528.758,847
CXO,2021/09/10,0.34,0.347,0.335,0.34,11309273,3844515.873,656
CXO,2021/09/13,0.34,0.36,0.34,0.35,9723309,3406899.256,732
CXO,2021/09/14,0.355,0.445,0.355,0.445,56807466,23026641.5,2587
CXO,2021/09/15,0.445,0.475,0.43,0.455,41166899,18743805.07,3121
CXO,2021/09/16,0.455,0.49,0.44,0.455,30430583,14028588.44,2913
CXO,2021/09/17,0.45,0.46,0.435,0.455,21157692,9497857.895,1893
CXO,2021/09/20,0.455,0.47,0.405,0.41,28131144,12087029.78,1486
CXO,2021/09/21,0.38,0.43,0.365,0.4,26983979,10767748.01,2239
CXO,2021/09/22,0.4,0.42,0.385,0.405,16138478,6491699.325,1489
CXO,2021/09/23,0.445,0.45,0.415,0.42,19986881,8582622.164,1182
CXO,2021/09/24,0.435,0.437,0.415,0.415,9855803,4176710.203,744
CXO,2021/09/27,0.42,0.435,0.405,0.405,15120695,6315003.272,910
CXO,2021/09/28,0.415,0.415,0.39,0.395,10002198,4016296.991,952
CXO,2021/09/29,0.385,0.4,0.377,0.39,13471407,5235382.162,1169
CXO,2021/09/30,0.41,0.425,0.395,0.425,15825548,6502875.035,1343
CXO,2021/10/01,0.42,0.44,0.41,0.415,24857097,10534509.38,1606
CXO,2021/10/04,0.43,0.435,0.415,0.42,9597455,4079898.685,805
CXO,2021/10/05,0.42,0.42,0.385,0.395,20693686,8329119.695,1680
CXO,2021/10/06,0.405,0.412,0.39,0.39,11492061,4599244.972,1013
CXO,2021/10/07,0.4,0.415,0.39,0.41,11001639,4427900.354,754
CXO,2021/10/08,0.42,0.435,0.405,0.41,11870474,4983287.121,878
CXO,2021/10/11,0.42,0.44,0.41,0.435,14886270,6362286.274,992
CXO,2021/10/12,0.44,0.45,0.415,0.42,15251038,6563871.4,1259
CXO,2021/10/13,0.43,0.495,0.43,0.475,46925921,22023578.76,3082
CXO,2021/10/14,0.49,0.59,0.49,0.57,100047765,54942956.72,4954
CXO,2021/10/15,0.585,0.59,0.52,0.545,48487457,26573805.72,3135
CXO,2021/10/18,0.555,0.58,0.54,0.55,16821156,9391069.53,1443
CXO,2021/10/19,0.57,0.63,0.545,0.63,32689705,19171195.52,2358
CXO,2021/10/20,0.645,0.66,0.59,0.605,37667641,23086051.87,2816
CXO,2021/10/21,0.61,0.63,0.57,0.575,34386416,20295811.76,2350
CXO,2021/10/22,0.58,0.637,0.58,0.625,31676103,19257109.12,2359
CXO,2021/10/25,0.625,0.63,0.565,0.57,47295257,27854680.15,3483
CXO,2021/10/26,0.6,0.605,0.575,0.575,31060791,18342324.75,2364
CXO,2021/10/27,0.585,0.59,0.56,0.57,16322457,9420648.261,1927
CXO,2021/10/28,0.58,0.58,0.56,0.57,12336957,7043474.767,1016
CXO,2021/10/29,0.58,0.6,0.57,0.57,18714917,10857683.18,1427
CXO,2021/11/01,0.575,0.6,0.555,0.565,23918172,13787473.87,1819
CXO,2021/11/02,0.59,0.615,0.57,0.575,31872538,18808841.58,2284
CXO,2021/11/03,0.58,0.59,0.57,0.575,14236686,8243495.106,1148
CXO,2021/11/04,0.585,0.612,0.58,0.605,31845208,18931437.48,2126
CXO,2021/11/05,0.615,0.675,0.615,0.64,47564719,30564247.87,3345
CXO,2021/11/08,0.66,0.675,0.615,0.625,30753051,19677928.08,3095
CXO,2021/11/09,0.64,0.655,0.63,0.645,16368837,10549871.44,1797
CXO,2021/11/10,0.645,0.645,0.59,0.6,22647394,13903787.34,2224
CXO,2021/11/11,0.59,0.615,0.58,0.59,19270903,11459216.14,1895
CXO,2021/11/12,0.605,0.605,0.57,0.585,23152871,13525513.23,3045
CXO,2021/11/15,0.585,0.59,0.55,0.565,22738148,12856578.79,2515
CXO,2021/11/16,0.575,0.575,0.555,0.56,13085960,7389919.554,1421
CXO,2021/11/17,0.565,0.565,0.55,0.555,12748853,7077722.514,1518
CXO,2021/11/18,0.55,0.555,0.535,0.54,14647372,7992246.387,1721
CXO,2021/11/19,0.54,0.58,0.54,0.57,16338449,9146115.257,1372
CXO,2021/11/22,0.575,0.59,0.56,0.57,10912794,6289572.942,1049
CXO,2021/11/23,0.58,0.6,0.565,0.58,9295264,5428570.824,846
CXO,2021/11/24,0.585,0.585,0.545,0.545,18049914,10110537.71,1300
CXO,2021/11/25,0.555,0.565,0.55,0.56,8601037,4794541.239,671
CXO,2021/11/26,0.56,0.58,0.54,0.54,16104121,9004636.986,921
CXO,2021/11/29,0.52,0.54,0.495,0.525,26911252,14042962.72,1747
CXO,2021/11/30,0.54,0.575,0.53,0.575,19629934,10864714.93,1206
CXO,2021/12/01,0.56,0.575,0.55,0.555,8892644,4984361.646,716
CXO,2021/12/02,0.55,0.555,0.535,0.545,8928610,4857994.796,874
CXO,2021/12/03,0.555,0.565,0.525,0.525,10266990,5526579.756,803
CXO,2021/12/06,0.52,0.525,0.47,0.475,19494826,9551745.452,2227
CXO,2021/12/07,0.49,0.535,0.485,0.53,17345173,8888307.622,1567
CXO,2021/12/08,0.555,0.57,0.53,0.53,11353102,6212493.163,1305
CXO,2021/12/09,0.54,0.55,0.515,0.52,9162532,4866375.791,1320
CXO,2021/12/10,0.51,0.525,0.5,0.5,14542209,7337088.129,1601
CXO,2021/12/13,0.505,0.535,0.492,0.525,16251370,8396098.772,1760
CXO,2021/12/14,0.52,0.56,0.51,0.545,14948512,8053438.359,1212
CXO,2021/12/15,0.55,0.55,0.515,0.52,9465999,4984992.1,986
CXO,2021/12/16,0.535,0.535,0.515,0.52,8537430,4496919.896,779
CXO,2021/12/17,0.52,0.52,0.505,0.51,9839709,5040514.699,908
CXO,2021/12/20,0.515,0.515,0.49,0.495,9893272,4951350.039,1133
CXO,2021/12/21,0.49,0.525,0.485,0.515,11368860,5700311.281,1518
CXO,2021/12/22,0.525,0.525,0.505,0.515,8616084,4435199.937,1102
CXO,2021/12/23,0.52,0.535,0.517,0.525,7494249,3947311.99,903
CXO,2021/12/24,0.53,0.55,0.53,0.54,6958372,3755491.515,761
CXO,2021/12/29,0.55,0.585,0.545,0.58,18763444,10770602.64,1529
CXO,2021/12/30,0.585,0.59,0.565,0.575,10418735,6013851.944,1266
CXO,2021/12/31,0.58,0.595,0.575,0.59,6933575,4069538.994,675
CXO,2022/01/04,0.6,0.635,0.595,0.63,20320827,12609088.17,2256
CXO,2022/01/05,0.635,0.65,0.62,0.635,18930200,12000954.51,2353
CXO,2022/01/06,0.62,0.62,0.595,0.6,14400779,8715367.515,1611
CXO,2022/01/07,0.61,0.64,0.605,0.625,16611036,10391725.6,1574
CXO,2022/01/10,0.635,0.65,0.61,0.64,15975213,10128598.13,1485
CXO,2022/01/11,0.635,0.705,0.63,0.695,32512920,22057979.85,2907
CXO,2022/01/12,0.715,0.8,0.705,0.79,41492021,31238036.09,3444
CXO,2022/01/13,0.8,0.825,0.755,0.805,46165043,36645961.17,4065
CXO,2022/01/14,0.8,0.92,0.785,0.9,48511488,42113870.38,5388
CXO,2022/01/17,0.94,0.965,0.88,0.88,37462081,34291254.67,4926
CXO,2022/01/18,0.9,0.955,0.895,0.92,32929508,30572514.02,3772
CXO,2022/01/19,0.91,0.91,0.85,0.88,36777102,32287196.33,4422
CXO,2022/01/20,0.88,0.925,0.87,0.915,23486625,21140074.9,2941
CXO,2022/01/21,0.905,0.91,0.84,0.845,26542875,23003526.48,3126
CXO,2022/01/24,0.795,0.835,0.77,0.8,29953614,24045066.47,4046
CXO,2022/01/25,0.785,0.82,0.72,0.73,44406203,34121227.26,5152
CXO,2022/01/27,0.75,0.79,0.69,0.71,34118304,25171369.02,4675
CXO,2022/01/28,0.745,0.755,0.69,0.735,31824986,22976664.63,2665
CXO,2022/01/31,0.765,0.775,0.725,0.755,23045518,17174890.55,1960
CXO,2022/02/01,0.785,0.81,0.77,0.785,22674153,17825660.3,2662
CXO,2022/02/02,0.805,0.825,0.79,0.8,16180393,13039214.18,1986
CXO,2022/02/03,0.8,0.805,0.75,0.75,16408984,12740831.11,2337
CXO,2022/02/04,0.745,0.795,0.735,0.785,16732773,12926713.16,1968
CXO,2022/02/07,0.79,0.805,0.77,0.78,12191249,9557404.163,1958
CXO,2022/02/08,0.78,0.82,0.78,0.785,14739709,11732988.88,1566
CXO,2022/02/09,0.805,0.83,0.8,0.82,19632989,15976133.43,2192
CXO,2022/02/10,0.845,0.88,0.845,0.865,32109258,27655243.65,3166
CXO,2022/02/11,0.835,0.885,0.83,0.865,22153992,18927807.25,1979
CXO,2022/02/14,0.845,0.845,0.79,0.795,25840039,20959153.05,2741
CXO,2022/02/15,0.8,0.81,0.745,0.75,22097456,17040349.68,2916
CXO,2022/02/16,0.8,0.83,0.79,0.815,16799971,13585998.35,1876
CXO,2022/02/17,0.82,0.82,0.79,0.795,9252904,7460892.993,1306
CXO,2022/02/18,0.78,0.88,0.775,0.84,36230970,30508094.95,3493
CXO,2022/02/21,0.825,0.825,0.785,0.785,22683111,18087562.04,2554
CXO,2022/02/22,0.785,0.785,0.75,0.755,22615207,17220226.95,2981
CXO,2022/02/23,0.75,0.825,0.75,0.81,22141727,17625182.58,2517
CXO,2022/02/24,0.78,0.795,0.72,0.72,29747757,22357047.13,3415
CXO,2022/02/25,0.75,0.77,0.73,0.755,30716069,23007202.01,2614
CXO,2022/02/28,0.77,0.785,0.745,0.77,22194947,17058549.43,2219
CXO,2022/03/01,0.78,0.865,0.78,0.825,41064917,34411876.84,3485
CXO,2022/03/02,0.895,0.975,0.885,0.95,80205562,74914145.05,7488
