Code,Date,Open,High,Low,Close,Volume,Value,Trades
PPM,2021/09/08,2.65,2.67,2.62,2.66,83049,220401.025,136
PPM,2021/09/09,2.665,2.665,2.57,2.59,139597,363624.775,226
PPM,2021/09/10,2.59,2.59,2.445,2.48,5605111,13492824.02,484
PPM,2021/09/13,2.45,2.5,2.41,2.44,300858,738283.155,567
PPM,2021/09/14,2.47,2.55,2.47,2.49,164843,412343.135,268
PPM,2021/09/15,2.5,2.59,2.5,2.55,322428,823805.535,367
PPM,2021/09/16,2.55,2.61,2.54,2.58,38296,98831.87,159
PPM,2021/09/17,2.6,2.63,2.54,2.55,350827,911616.87,281
PPM,2021/09/20,2.55,2.55,2.45,2.54,62340,155645.51,161
PPM,2021/09/21,2.49,2.53,2.45,2.52,46244,115089.135,218
PPM,2021/09/22,2.48,2.53,2.45,2.51,86134,214588.03,204
PPM,2021/09/23,2.5,2.53,2.47,2.5,172399,430866.185,210
PPM,2021/09/24,2.5,2.52,2.48,2.49,39162,97935.715,74
PPM,2021/09/27,2.5,2.53,2.495,2.5,28461,71283.38,158
PPM,2021/09/28,2.5,2.53,2.49,2.51,17155,42866.53,50
PPM,2021/09/29,2.5,2.5,2.41,2.49,103221,254874.515,265
PPM,2021/09/30,2.46,2.5,2.42,2.49,133347,329624.3,232
PPM,2021/10/01,2.46,2.49,2.425,2.46,67260,165252.07,163
PPM,2021/10/04,2.45,2.47,2.42,2.45,42229,103058.675,120
PPM,2021/10/05,2.42,2.44,2.36,2.4,183479,442401.37,345
PPM,2021/10/06,2.42,2.43,2.36,2.38,69267,164857.11,235
PPM,2021/10/07,2.38,2.44,2.36,2.39,176866,426069.295,198
PPM,2021/10/08,2.41,2.45,2.39,2.45,94366,228564.39,133
PPM,2021/10/11,2.45,2.5,2.45,2.46,168369,415116.43,186
PPM,2021/10/12,2.49,2.49,2.42,2.43,91101,222350.63,259
PPM,2021/10/13,2.46,2.48,2.43,2.48,17466,42594.47,136
PPM,2021/10/14,2.48,2.48,2.42,2.46,28785,70520.72,235
PPM,2021/10/15,2.48,2.48,2.43,2.46,287795,706393.17,769
PPM,2021/10/18,2.48,2.48,2.44,2.45,92265,226271.915,298
PPM,2021/10/19,2.46,2.48,2.43,2.46,72989,179179.62,413
PPM,2021/10/20,2.44,2.5,2.43,2.5,180319,444273.455,420
PPM,2021/10/21,2.5,2.5,2.38,2.44,335383,812390.845,884
PPM,2021/10/22,2.43,2.45,2.41,2.43,225081,547246.42,757
PPM,2021/10/25,2.43,2.45,2.39,2.42,99609,241276.5,483
PPM,2021/10/26,2.42,2.42,2.37,2.42,198302,475952.21,655
PPM,2021/10/27,2.37,2.41,2.35,2.41,118057,281612.555,603
